"","date","state","beds_icu","beds_icu_rep","beds_icu_total","beds_icu_covid","vent","icu_covid","icu_pui","icu_noncovid","vent_covid","vent_noncovid","vent_used"
"3898","2020-12-08","Terengganu",23,0,23,12,41,0,0,12,0,0,18
"3908","2020-12-09","Perlis",13,0,13,4,20,0,0,10,0,0,14
"3913","2020-12-09","Terengganu",23,0,23,12,41,0,0,16,0,0,21
"3923","2020-12-10","Perlis",13,0,13,4,20,0,0,10,0,0,15
"3928","2020-12-10","Terengganu",23,0,23,12,41,0,0,17,0,0,22
"3938","2020-12-11","Perlis",13,0,13,4,20,0,0,6,0,0,11
"3943","2020-12-11","Terengganu",23,0,23,12,41,0,0,19,0,0,27
"3953","2020-12-12","Perlis",13,0,13,4,20,0,0,8,0,0,15
"3968","2020-12-13","Perlis",13,0,13,4,20,0,0,9,0,0,13
"3983","2020-12-14","Perlis",13,0,13,4,20,0,0,8,0,0,12
"3998","2020-12-15","Perlis",13,0,13,4,20,0,0,9,0,0,14
"4013","2020-12-16","Perlis",13,0,13,4,20,0,0,11,0,0,14
"4028","2020-12-17","Perlis",13,0,13,4,20,0,0,10,0,0,14
"4043","2020-12-18","Perlis",13,0,13,4,20,0,0,8,0,0,11
"4048","2020-12-18","Terengganu",23,0,23,12,41,0,0,18,0,0,30
"4058","2020-12-19","Perlis",13,0,13,4,20,0,0,7,0,0,12
"4063","2020-12-19","Terengganu",23,0,23,12,41,0,0,18,0,0,31
"4073","2020-12-20","Perlis",13,0,13,4,20,0,0,8,0,0,12
"4078","2020-12-20","Terengganu",23,0,23,12,41,0,0,18,0,0,29
"4088","2020-12-21","Perlis",13,0,13,4,20,0,0,9,0,0,15
"4093","2020-12-21","Terengganu",23,0,23,12,41,0,0,17,0,0,27
"4103","2020-12-22","Perlis",13,0,13,4,20,0,0,10,0,0,14
"4108","2020-12-22","Terengganu",23,0,23,12,41,0,0,18,0,0,27
"4118","2020-12-23","Perlis",13,0,13,4,20,0,0,10,0,0,13
"4123","2020-12-23","Terengganu",23,0,23,12,41,0,0,19,0,0,28
"4133","2020-12-24","Perlis",13,0,13,4,20,0,0,7,0,0,10
"4138","2020-12-24","Terengganu",23,0,23,12,41,0,0,17,0,0,26
"4148","2020-12-25","Perlis",13,0,13,4,20,0,0,6,0,0,7
"4153","2020-12-25","Terengganu",23,0,23,12,41,0,0,14,0,0,28
"4163","2020-12-26","Perlis",13,0,13,4,20,0,0,9,0,0,11
"4168","2020-12-26","Terengganu",23,0,23,12,41,0,0,18,0,0,30
"4178","2020-12-27","Perlis",13,0,13,4,20,0,0,6,0,0,11
"4193","2020-12-28","Perlis",13,0,13,4,20,0,0,6,0,0,8
"4198","2020-12-28","Terengganu",23,0,23,12,41,0,0,16,0,0,23
"4208","2020-12-29","Perlis",13,0,13,4,20,0,0,7,0,0,12
"4213","2020-12-29","Terengganu",23,0,23,12,41,0,0,18,0,0,35
"4223","2020-12-30","Perlis",13,0,13,4,20,0,0,8,0,0,18
"4238","2020-12-31","Perlis",13,0,13,4,20,0,0,8,0,0,16
"4243","2020-12-31","Terengganu",23,0,23,12,41,0,0,18,0,0,23
"4253","2021-01-01","Perlis",13,0,13,4,20,0,0,8,0,0,14
"4265","2021-01-02","Negeri Sembilan",22,0,22,11,62,0,0,10,0,0,32
"4268","2021-01-02","Perlis",13,0,13,4,20,0,0,8,0,0,17
"4283","2021-01-03","Perlis",13,0,13,4,20,0,0,4,0,0,12
"4288","2021-01-03","Terengganu",23,0,23,12,41,0,0,17,0,0,23
"4298","2021-01-04","Perlis",13,0,13,4,20,0,0,5,0,0,10
"4313","2021-01-05","Perlis",13,0,13,4,20,0,0,9,0,0,17
"4318","2021-01-05","Terengganu",23,0,23,12,41,0,0,18,0,0,22
"4328","2021-01-06","Perlis",13,0,13,4,20,0,0,6,0,0,11
"4344","2021-01-07","Perlis",13,0,13,4,20,0,0,8,0,0,15
"4360","2021-01-08","Perlis",13,0,13,4,20,0,0,8,0,0,15
"4376","2021-01-09","Perlis",13,0,13,4,20,0,0,6,0,0,13
"4381","2021-01-09","Terengganu",23,0,23,12,41,0,0,16,0,0,27
"4797","2021-02-06","Perlis",13,2,15,6,20,0,0,6,0,0,11
"4813","2021-02-07","Perlis",13,2,15,6,20,0,0,6,0,0,13
"4829","2021-02-08","Perlis",13,2,15,6,20,0,0,6,0,0,11
"4845","2021-02-09","Perlis",13,2,15,6,20,0,0,6,0,0,9
"4861","2021-02-10","Perlis",13,2,15,6,20,0,0,6,0,0,9
"4876","2021-02-11","Perlis",13,2,15,6,20,0,0,8,0,0,9
"4891","2021-02-12","Perlis",13,2,15,6,20,0,0,8,0,0,15
"4906","2021-02-13","Perlis",13,2,15,6,20,0,0,10,0,0,20
"4921","2021-02-14","Perlis",13,2,15,6,20,0,0,9,0,0,20
"4936","2021-02-15","Perlis",13,2,15,6,20,0,0,10,0,0,21
"4951","2021-02-16","Perlis",13,2,15,6,20,0,0,10,0,0,19
"4966","2021-02-17","Perlis",13,2,15,6,20,0,0,10,0,0,20
"4981","2021-02-18","Perlis",13,2,15,6,20,0,0,11,0,0,16
"4996","2021-02-19","Perlis",13,2,15,6,20,0,0,9,0,0,16
"5011","2021-02-20","Perlis",13,2,15,6,20,0,0,7,0,0,11
"5026","2021-02-21","Perlis",13,2,15,6,20,0,0,7,0,0,12
"5041","2021-02-22","Perlis",13,2,15,6,20,0,0,6,0,0,11
"5056","2021-02-23","Perlis",13,2,15,6,20,0,0,6,0,0,11
"5071","2021-02-24","Perlis",13,2,15,6,20,0,0,6,0,0,10
"5086","2021-02-25","Perlis",13,2,15,6,20,0,0,6,0,0,10
"5101","2021-02-26","Perlis",13,2,15,6,20,0,0,9,0,0,13
"5116","2021-02-27","Perlis",13,2,15,6,20,0,0,7,0,0,10
"5123","2021-02-27","W.P. Labuan",5,5,10,5,6,0,0,5,0,0,5
"5131","2021-02-28","Perlis",13,2,15,6,20,0,0,6,0,0,8
"5138","2021-02-28","W.P. Labuan",5,5,10,5,6,0,0,5,0,0,4
"5146","2021-03-01","Perlis",13,2,15,6,20,0,0,6,0,0,8
"5153","2021-03-01","W.P. Labuan",5,5,10,5,6,0,0,4,0,0,4
"5161","2021-03-02","Perlis",13,2,15,6,20,0,0,5,0,0,8
"5168","2021-03-02","W.P. Labuan",5,5,10,5,6,0,0,4,0,0,2
"5176","2021-03-03","Perlis",13,2,15,6,20,0,0,7,0,0,12
"5183","2021-03-03","W.P. Labuan",5,5,10,5,6,0,0,4,0,0,3
"5191","2021-03-04","Perlis",13,2,15,6,20,0,0,6,0,0,9
"5198","2021-03-04","W.P. Labuan",5,5,10,5,6,0,0,5,0,0,4
"5206","2021-03-05","Perlis",13,2,15,6,20,0,0,9,0,0,11
"5213","2021-03-05","W.P. Labuan",5,5,10,5,6,0,0,5,0,0,4
"5221","2021-03-06","Perlis",13,2,15,6,20,0,0,7,0,0,9
"5228","2021-03-06","W.P. Labuan",5,5,10,5,6,0,0,4,0,0,4
"5237","2021-03-07","Perlis",13,2,15,6,20,0,0,10,0,0,11
"5244","2021-03-07","W.P. Labuan",5,5,10,5,6,0,0,4,0,0,4
"5253","2021-03-08","Perlis",13,2,15,6,20,0,0,8,0,0,10
"5260","2021-03-08","W.P. Labuan",5,5,10,5,6,0,0,4,0,0,3
"5269","2021-03-09","Perlis",13,2,15,6,20,0,0,6,0,0,8
"5276","2021-03-09","W.P. Labuan",5,5,10,5,6,0,0,5,0,0,4
"5292","2021-03-10","W.P. Labuan",5,5,10,5,6,0,0,5,0,0,5
"5307","2021-03-11","W.P. Labuan",5,5,10,5,6,0,0,5,0,0,7
"5345","2021-03-14","Perlis",13,2,15,6,20,0,0,6,0,0,7
"5360","2021-03-15","Perlis",13,2,15,6,20,0,0,7,0,0,9
"5375","2021-03-16","Perlis",13,2,15,6,20,0,0,8,0,0,10
"5390","2021-03-17","Perlis",13,2,15,6,20,0,0,9,0,0,12
"5397","2021-03-17","W.P. Labuan",5,5,10,5,6,0,0,3,0,0,1
"5412","2021-03-18","W.P. Labuan",5,5,10,5,6,0,0,3,0,0,1
"5420","2021-03-19","Perlis",13,2,15,6,20,0,0,11,0,0,13
"5427","2021-03-19","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"5435","2021-03-20","Perlis",13,2,15,6,20,0,0,12,0,0,15
"5442","2021-03-20","W.P. Labuan",5,5,10,5,6,0,0,1,0,0,1
"5450","2021-03-21","Perlis",13,2,15,6,20,0,0,9,0,0,13
"5457","2021-03-21","W.P. Labuan",5,5,10,5,6,0,0,1,0,0,1
"5465","2021-03-22","Perlis",13,2,15,6,20,0,0,10,0,0,18
"5472","2021-03-22","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,2
"5480","2021-03-23","Perlis",13,2,15,6,20,0,0,9,0,0,15
"5487","2021-03-23","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,2
"5495","2021-03-24","Perlis",13,2,15,6,20,0,0,10,0,0,16
"5502","2021-03-24","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,2
"5510","2021-03-25","Perlis",13,2,15,6,20,0,0,10,0,0,14
"5517","2021-03-25","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,2
"5525","2021-03-26","Perlis",13,2,15,6,20,0,0,9,0,0,12
"5530","2021-03-26","Terengganu",20,0,20,4,41,0,0,12,0,0,20
"5532","2021-03-26","W.P. Labuan",5,5,10,5,6,0,0,1,0,0,1
"5540","2021-03-27","Perlis",13,2,15,6,20,0,0,10,0,0,13
"5545","2021-03-27","Terengganu",20,0,20,4,41,0,0,12,0,0,21
"5547","2021-03-27","W.P. Labuan",5,5,10,5,6,0,0,1,0,0,1
"5555","2021-03-28","Perlis",13,2,15,6,20,0,0,8,0,0,11
"5560","2021-03-28","Terengganu",20,0,20,4,41,0,0,11,0,0,20
"5562","2021-03-28","W.P. Labuan",5,5,10,5,6,0,0,1,0,0,1
"5570","2021-03-29","Perlis",13,2,15,6,20,0,0,9,0,0,12
"5575","2021-03-29","Terengganu",20,0,20,4,41,0,0,9,0,0,20
"5577","2021-03-29","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"5585","2021-03-30","Perlis",13,2,15,6,20,0,0,10,0,0,12
"5590","2021-03-30","Terengganu",20,0,20,4,41,0,0,11,0,0,25
"5592","2021-03-30","W.P. Labuan",5,5,10,5,6,0,0,3,0,0,1
"5600","2021-03-31","Perlis",13,2,15,6,20,0,0,8,0,0,15
"5605","2021-03-31","Terengganu",20,0,20,4,41,0,0,11,0,0,19
"5607","2021-03-31","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"5615","2021-04-01","Perlis",13,2,15,6,20,0,0,7,0,0,14
"5620","2021-04-01","Terengganu",20,0,20,4,41,0,0,13,0,0,26
"5622","2021-04-01","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"5630","2021-04-02","Perlis",13,2,15,6,20,0,0,7,0,0,11
"5635","2021-04-02","Terengganu",20,0,20,4,41,0,0,19,0,0,28
"5637","2021-04-02","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"5645","2021-04-03","Perlis",13,2,15,6,20,0,0,6,0,0,14
"5650","2021-04-03","Terengganu",20,0,20,4,41,0,0,17,0,0,29
"5652","2021-04-03","W.P. Labuan",5,5,10,5,6,0,0,1,0,0,1
"5660","2021-04-04","Perlis",13,2,15,6,20,0,0,9,0,0,17
"5665","2021-04-04","Terengganu",20,0,20,4,41,0,0,16,0,0,27
"5667","2021-04-04","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,2
"5675","2021-04-05","Perlis",13,2,15,6,20,0,0,11,0,0,16
"5680","2021-04-05","Terengganu",20,0,20,4,41,0,0,17,0,0,28
"5682","2021-04-05","W.P. Labuan",5,5,10,5,6,0,0,3,0,0,2
"5690","2021-04-06","Perlis",13,2,15,6,20,0,0,9,0,0,15
"5695","2021-04-06","Terengganu",20,0,20,4,41,0,0,18,0,0,24
"5697","2021-04-06","W.P. Labuan",5,5,10,5,6,0,0,3,0,0,2
"5706","2021-04-07","Perlis",13,2,15,6,20,0,0,11,0,0,20
"5711","2021-04-07","Terengganu",20,0,20,4,41,0,0,16,0,0,23
"5713","2021-04-07","W.P. Labuan",5,5,10,5,6,0,0,3,0,0,1
"5722","2021-04-08","Perlis",13,2,15,6,20,0,0,7,0,0,15
"5727","2021-04-08","Terengganu",20,0,20,4,41,0,0,19,0,0,24
"5729","2021-04-08","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"5738","2021-04-09","Perlis",13,2,15,6,20,0,0,6,0,0,15
"5743","2021-04-09","Terengganu",20,0,20,4,41,0,0,16,0,0,21
"5745","2021-04-09","W.P. Labuan",5,5,10,5,6,0,0,1,0,0,1
"5754","2021-04-10","Perlis",13,2,15,6,20,0,0,8,0,0,12
"5759","2021-04-10","Terengganu",20,0,20,4,41,0,0,15,0,0,23
"5761","2021-04-10","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,2
"5769","2021-04-11","Perlis",13,2,15,6,20,0,0,9,0,0,12
"5774","2021-04-11","Terengganu",20,0,20,4,41,0,0,17,0,0,24
"5776","2021-04-11","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"5784","2021-04-12","Perlis",13,2,15,6,20,0,0,8,0,0,11
"5789","2021-04-12","Terengganu",20,0,20,4,41,0,0,17,0,0,21
"5791","2021-04-12","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"5799","2021-04-13","Perlis",13,2,15,6,20,0,0,9,0,0,11
"5804","2021-04-13","Terengganu",20,0,20,4,41,0,0,14,0,0,20
"5806","2021-04-13","W.P. Labuan",5,5,10,5,6,0,0,1,0,0,1
"5814","2021-04-14","Perlis",13,2,15,6,20,0,0,8,0,0,12
"5819","2021-04-14","Terengganu",20,0,20,4,41,0,0,19,0,0,30
"5821","2021-04-14","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"5829","2021-04-15","Perlis",13,2,15,6,20,0,0,8,0,0,12
"5834","2021-04-15","Terengganu",20,0,20,4,41,0,0,18,0,0,26
"5836","2021-04-15","W.P. Labuan",5,5,10,5,6,0,0,3,0,0,2
"5844","2021-04-16","Perlis",13,2,15,6,20,0,0,8,0,0,13
"5849","2021-04-16","Terengganu",20,0,20,4,41,0,0,17,0,0,25
"5851","2021-04-16","W.P. Labuan",5,5,10,5,6,0,0,3,0,0,2
"5859","2021-04-17","Perlis",13,2,15,6,20,0,0,8,0,0,11
"5864","2021-04-17","Terengganu",20,0,20,4,41,0,0,19,0,0,27
"5866","2021-04-17","W.P. Labuan",5,5,10,5,6,0,0,3,0,0,2
"5874","2021-04-18","Perlis",13,2,15,6,20,0,0,6,0,0,9
"5879","2021-04-18","Terengganu",20,0,20,4,41,0,0,17,0,0,25
"5881","2021-04-18","W.P. Labuan",5,5,10,5,6,0,0,3,0,0,2
"5889","2021-04-19","Perlis",13,2,15,6,20,0,0,6,0,0,11
"5894","2021-04-19","Terengganu",20,0,20,4,41,0,0,17,0,0,26
"5896","2021-04-19","W.P. Labuan",5,5,10,5,6,0,0,3,0,0,2
"5904","2021-04-20","Perlis",13,2,15,6,20,0,0,7,0,0,8
"5909","2021-04-20","Terengganu",20,0,20,4,41,0,0,17,0,0,30
"5919","2021-04-21","Perlis",13,2,15,6,20,0,0,6,0,0,8
"5924","2021-04-21","Terengganu",20,0,20,4,41,0,0,15,0,0,28
"5934","2021-04-22","Perlis",13,2,15,6,20,0,0,10,0,0,11
"5939","2021-04-22","Terengganu",20,0,20,4,41,0,0,18,0,0,27
"5949","2021-04-23","Perlis",13,2,15,6,20,0,0,10,0,0,13
"5954","2021-04-23","Terengganu",20,0,20,4,41,0,0,14,0,0,26
"5956","2021-04-23","W.P. Labuan",5,5,10,5,6,0,0,1,0,0,1
"5964","2021-04-24","Perlis",13,2,15,6,20,0,0,10,0,0,14
"5969","2021-04-24","Terengganu",20,0,20,4,41,0,0,17,0,0,26
"5971","2021-04-24","W.P. Labuan",5,5,10,5,6,0,0,1,0,0,0
"5979","2021-04-25","Perlis",13,2,15,6,20,0,0,8,0,0,14
"5984","2021-04-25","Terengganu",20,0,20,4,41,0,0,15,0,0,25
"5986","2021-04-25","W.P. Labuan",5,5,10,5,6,0,0,1,0,0,1
"5994","2021-04-26","Perlis",13,2,15,6,20,0,0,8,0,0,12
"5999","2021-04-26","Terengganu",20,0,20,4,41,0,0,13,0,0,23
"6001","2021-04-26","W.P. Labuan",5,5,10,5,6,0,0,3,0,0,2
"6009","2021-04-27","Perlis",13,2,15,6,20,0,0,9,0,0,14
"6016","2021-04-27","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,2
"6024","2021-04-28","Perlis",13,2,15,6,20,0,0,8,0,0,16
"6031","2021-04-28","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"6039","2021-04-29","Perlis",13,2,15,6,20,0,0,6,0,0,11
"6046","2021-04-29","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"6054","2021-04-30","Perlis",13,2,15,6,20,0,0,6,0,0,10
"6061","2021-04-30","W.P. Labuan",5,5,10,5,6,0,0,1,0,0,0
"6069","2021-05-01","Perlis",13,2,15,6,20,0,0,7,0,0,11
"6076","2021-05-01","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"6084","2021-05-02","Perlis",13,2,15,6,20,0,0,8,0,0,13
"6091","2021-05-02","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"6099","2021-05-03","Perlis",13,2,15,6,20,0,0,5,0,0,8
"6106","2021-05-03","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,0
"6121","2021-05-04","W.P. Labuan",5,5,10,5,6,0,0,4,0,0,2
"6136","2021-05-05","W.P. Labuan",5,5,10,5,6,0,0,4,0,0,2
"6151","2021-05-06","W.P. Labuan",5,5,10,5,6,0,0,5,0,0,3
"6160","2021-05-07","Perlis",13,2,15,6,20,0,0,7,0,0,14
"6167","2021-05-07","W.P. Labuan",5,5,10,5,6,0,0,4,0,0,1
"6183","2021-05-08","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"6199","2021-05-09","W.P. Labuan",5,5,10,5,6,0,0,2,0,0,1
"12534","2022-06-09","W.P. Labuan",5,2,7,2,33,0,0,1,0,0,3
"12550","2022-06-10","W.P. Labuan",5,2,7,2,33,0,0,0,0,0,4
"12566","2022-06-11","W.P. Labuan",5,2,7,2,33,0,0,0,0,0,4
"12582","2022-06-12","W.P. Labuan",5,2,7,2,33,0,0,0,0,0,3
"12646","2022-06-16","W.P. Labuan",5,2,7,2,33,0,0,3,0,0,2
"12662","2022-06-17","W.P. Labuan",5,2,7,2,33,0,0,4,0,0,1
"12678","2022-06-18","W.P. Labuan",5,2,7,2,33,0,0,1,0,0,1
"12694","2022-06-19","W.P. Labuan",5,2,7,2,33,0,0,1,0,0,1
"12710","2022-06-20","W.P. Labuan",5,2,7,2,33,0,0,0,0,0,1
"12774","2022-06-24","W.P. Labuan",5,2,7,2,33,0,0,2,0,0,2
"12790","2022-06-25","W.P. Labuan",5,2,7,2,33,0,0,1,0,0,2
"12806","2022-06-26","W.P. Labuan",5,2,7,2,33,0,0,0,0,0,1
"12822","2022-06-27","W.P. Labuan",5,2,7,2,33,0,0,2,0,0,2
"12838","2022-06-28","W.P. Labuan",5,2,7,2,33,0,0,3,0,0,2
"12982","2022-07-07","W.P. Labuan",5,2,7,2,33,0,0,4,0,0,5
"12998","2022-07-08","W.P. Labuan",5,2,7,2,33,0,0,1,0,0,5
"13142","2022-07-17","W.P. Labuan",5,2,7,2,33,0,0,4,0,0,4
"13174","2022-07-19","W.P. Labuan",5,2,7,2,33,0,0,4,0,0,5
"13190","2022-07-20","W.P. Labuan",5,2,7,2,33,0,0,4,0,0,4
"13206","2022-07-21","W.P. Labuan",5,2,7,2,33,0,0,3,0,0,5
"13222","2022-07-22","W.P. Labuan",5,2,7,2,33,0,0,2,0,0,4
"13814","2022-08-28","W.P. Labuan",5,2,7,2,33,0,0,2,0,0,1
"13878","2022-09-01","W.P. Labuan",5,2,7,2,33,0,0,2,0,0,2
"13894","2022-09-02","W.P. Labuan",5,2,7,2,33,0,0,3,0,0,3
"14390","2022-10-03","W.P. Labuan",5,2,7,2,33,0,0,1,0,0,1
"14662","2022-10-20","W.P. Labuan",5,2,7,2,33,0,0,4,0,0,3
"14678","2022-10-21","W.P. Labuan",5,2,7,2,33,0,0,3,0,0,3
"15126","2022-11-18","W.P. Labuan",5,2,7,2,33,0,0,3,0,0,1
"15174","2022-11-21","W.P. Labuan",5,2,7,2,33,0,0,3,0,0,1
"15206","2022-11-23","W.P. Labuan",5,2,7,2,33,0,0,2,0,0,3
"17015","2023-03-16","W.P. Putrajaya",14,0,14,3,37,0,0,4,0,0,4
"17142","2023-03-24","W.P. Labuan",5,2,7,7,22,0,0,4,0,0,1
"17158","2023-03-25","W.P. Labuan",5,2,7,7,22,0,0,0,0,0,0
"17174","2023-03-26","W.P. Labuan",5,2,7,7,22,0,0,0,0,0,0
"17190","2023-03-27","W.P. Labuan",5,2,7,7,22,0,0,0,0,0,0
"17206","2023-03-28","W.P. Labuan",5,2,7,7,22,0,0,1,0,0,0
"17222","2023-03-29","W.P. Labuan",5,2,7,7,22,0,0,1,0,0,0
"17238","2023-03-30","W.P. Labuan",5,2,7,7,22,0,0,3,0,0,1
"17254","2023-03-31","W.P. Labuan",5,2,7,7,22,0,0,3,0,0,1
"17455","2023-04-13","Perlis",13,0,13,2,19,0,0,9,0,0,0
"17782","2023-05-03","W.P. Labuan",5,2,7,7,22,0,0,0,0,0,0
"17798","2023-05-04","W.P. Labuan",5,2,7,7,22,0,0,0,0,0,0
"17814","2023-05-05","W.P. Labuan",5,2,7,7,22,0,0,0,0,0,0
"17830","2023-05-06","W.P. Labuan",5,2,7,7,22,0,0,0,0,0,0
"17846","2023-05-07","W.P. Labuan",5,2,7,7,22,0,0,1,0,0,0
"17878","2023-05-09","W.P. Labuan",5,2,7,7,22,0,0,1,0,0,0
"17894","2023-05-10","W.P. Labuan",5,2,7,7,22,0,0,0,0,0,0
"18054","2023-05-20","W.P. Labuan",5,2,7,7,22,0,0,2,0,0,0
